homeTeam,awayTeam,matchDateUtc,stadiumName,status
"Pisa","Como","2026-01-06T14:00:00Z","Cetilar Arena","UPCOMING"
"Lecce","Roma","2026-01-06T17:00:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Sassuolo","Juventus","2026-01-06T19:45:00Z","Mapei Stadium","UPCOMING"
"Bologna","Atalanta","2026-01-07T17:30:00Z","Renato Dall'Ara","UPCOMING"
"Napoli","Hellas Verona","2026-01-07T17:30:00Z","Diego Armando Maradona","UPCOMING"
"Lazio","Fiorentina","2026-01-07T19:45:00Z","Olimpico","UPCOMING"
"Parma","Inter","2026-01-07T19:45:00Z","Ennio Tardini","UPCOMING"
"Torino","Udinese","2026-01-07T19:45:00Z","Olimpico - Grande Torino","UPCOMING"
"Cremonese","Cagliari","2026-01-08T17:30:00Z","Giovanni Zini","UPCOMING"
"Milan","Genoa","2026-01-08T19:45:00Z","Giuseppe Meazza","UPCOMING"
"Como","Bologna","2026-01-10T14:00:00Z","Giuseppe Sinigaglia","UPCOMING"
"Udinese","Pisa","2026-01-10T14:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
"Roma","Sassuolo","2026-01-10T17:00:00Z","Olimpico","UPCOMING"
"Atalanta","Torino","2026-01-10T19:45:00Z","New Balance Arena","UPCOMING"
"Lecce","Parma","2026-01-11T11:30:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Fiorentina","Milan","2026-01-11T14:00:00Z","Artemio Franchi","UPCOMING"
"Hellas Verona","Lazio","2026-01-11T17:00:00Z","Marcantonio Bentegodi","UPCOMING"
"Inter","Napoli","2026-01-11T19:45:00Z","Giuseppe Meazza","UPCOMING"
"Genoa","Cagliari","2026-01-12T17:30:00Z","Luigi Ferraris","UPCOMING"
"Juventus","Cremonese","2026-01-12T19:45:00Z","Allianz Stadium","UPCOMING"
"Napoli","Parma","2026-01-14T17:30:00Z","Diego Armando Maradona","UPCOMING"
"Inter","Lecce","2026-01-14T19:45:00Z","Giuseppe Meazza","UPCOMING"
"Hellas Verona","Bologna","2026-01-15T17:30:00Z","Marcantonio Bentegodi","UPCOMING"
"Como","Milan","2026-01-15T19:45:00Z","Giuseppe Sinigaglia","UPCOMING"
"Pisa","Atalanta","2026-01-16T19:45:00Z","Cetilar Arena","UPCOMING"
"Udinese","Inter","2026-01-17T14:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
"Napoli","Sassuolo","2026-01-17T17:00:00Z","Diego Armando Maradona","UPCOMING"
"Cagliari","Juventus","2026-01-17T19:45:00Z","Unipol Domus","UPCOMING"
"Parma","Genoa","2026-01-18T11:30:00Z","Ennio Tardini","UPCOMING"
"Bologna","Fiorentina","2026-01-18T14:00:00Z","Renato Dall'Ara","UPCOMING"
"Torino","Roma","2026-01-18T17:00:00Z","Olimpico - Grande Torino","UPCOMING"
"Milan","Lecce","2026-01-18T19:45:00Z","Giuseppe Meazza","UPCOMING"
"Cremonese","Hellas Verona","2026-01-19T17:30:00Z","Giovanni Zini","UPCOMING"
"Lazio","Como","2026-01-19T19:45:00Z","Olimpico","UPCOMING"
"Inter","Pisa","2026-01-23T19:45:00Z","Giuseppe Meazza","UPCOMING"
"Como","Torino","2026-01-24T14:00:00Z","Giuseppe Sinigaglia","UPCOMING"
"Fiorentina","Cagliari","2026-01-24T17:00:00Z","Artemio Franchi","UPCOMING"
"Lecce","Lazio","2026-01-24T19:45:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Sassuolo","Cremonese","2026-01-25T11:30:00Z","Mapei Stadium","UPCOMING"
"Atalanta","Parma","2026-01-25T14:00:00Z","New Balance Arena","UPCOMING"
"Genoa","Bologna","2026-01-25T14:00:00Z","Luigi Ferraris","UPCOMING"
"Juventus","Napoli","2026-01-25T17:00:00Z","Allianz Stadium","UPCOMING"
"Roma","Milan","2026-01-25T19:45:00Z","Olimpico","UPCOMING"
"Hellas Verona","Udinese","2026-01-26T19:45:00Z","Marcantonio Bentegodi","UPCOMING"
"Bologna","Milan","2026-02-01T14:00:00Z","Renato Dall'Ara","UPCOMING"
"Cagliari","Hellas Verona","2026-02-01T14:00:00Z","Unipol Domus","UPCOMING"
"Como","Atalanta","2026-02-01T14:00:00Z","Giuseppe Sinigaglia","UPCOMING"
"Cremonese","Inter","2026-02-01T14:00:00Z","Giovanni Zini","UPCOMING"
"Lazio","Genoa","2026-02-01T14:00:00Z","Olimpico","UPCOMING"
"Napoli","Fiorentina","2026-02-01T14:00:00Z","Diego Armando Maradona","UPCOMING"
"Parma","Juventus","2026-02-01T14:00:00Z","Ennio Tardini","UPCOMING"
"Pisa","Sassuolo","2026-02-01T14:00:00Z","Cetilar Arena","UPCOMING"
"Torino","Lecce","2026-02-01T14:00:00Z","Olimpico - Grande Torino","UPCOMING"
"Udinese","Roma","2026-02-01T14:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
"Atalanta","Cremonese","2026-02-08T14:00:00Z","New Balance Arena","UPCOMING"
"Bologna","Parma","2026-02-08T14:00:00Z","Renato Dall'Ara","UPCOMING"
"Fiorentina","Torino","2026-02-08T14:00:00Z","Artemio Franchi","UPCOMING"
"Genoa","Napoli","2026-02-08T14:00:00Z","Luigi Ferraris","UPCOMING"
"Juventus","Lazio","2026-02-08T14:00:00Z","Allianz Stadium","UPCOMING"
"Lecce","Udinese","2026-02-08T14:00:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Milan","Como","2026-02-08T14:00:00Z","Giuseppe Meazza","UPCOMING"
"Roma","Cagliari","2026-02-08T14:00:00Z","Olimpico","UPCOMING"
"Sassuolo","Inter","2026-02-08T14:00:00Z","Mapei Stadium","UPCOMING"
"Hellas Verona","Pisa","2026-02-08T14:00:00Z","Marcantonio Bentegodi","UPCOMING"
"Cagliari","Lecce","2026-02-15T14:00:00Z","Unipol Domus","UPCOMING"
"Como","Fiorentina","2026-02-15T14:00:00Z","Giuseppe Sinigaglia","UPCOMING"
"Cremonese","Genoa","2026-02-15T14:00:00Z","Giovanni Zini","UPCOMING"
"Inter","Juventus","2026-02-15T14:00:00Z","Giuseppe Meazza","UPCOMING"
"Lazio","Atalanta","2026-02-15T14:00:00Z","Olimpico","UPCOMING"
"Napoli","Roma","2026-02-15T14:00:00Z","Diego Armando Maradona","UPCOMING"
"Parma","Hellas Verona","2026-02-15T14:00:00Z","Ennio Tardini","UPCOMING"
"Pisa","Milan","2026-02-15T14:00:00Z","Cetilar Arena","UPCOMING"
"Torino","Bologna","2026-02-15T14:00:00Z","Olimpico - Grande Torino","UPCOMING"
"Udinese","Sassuolo","2026-02-15T14:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
"Atalanta","Napoli","2026-02-22T14:00:00Z","New Balance Arena","UPCOMING"
"Bologna","Udinese","2026-02-22T14:00:00Z","Renato Dall'Ara","UPCOMING"
"Cagliari","Lazio","2026-02-22T14:00:00Z","Unipol Domus","UPCOMING"
"Fiorentina","Pisa","2026-02-22T14:00:00Z","Artemio Franchi","UPCOMING"
"Genoa","Torino","2026-02-22T14:00:00Z","Luigi Ferraris","UPCOMING"
"Juventus","Como","2026-02-22T14:00:00Z","Allianz Stadium","UPCOMING"
"Lecce","Inter","2026-02-22T14:00:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Milan","Parma","2026-02-22T14:00:00Z","Giuseppe Meazza","UPCOMING"
"Roma","Cremonese","2026-02-22T14:00:00Z","Olimpico","UPCOMING"
"Sassuolo","Hellas Verona","2026-02-22T14:00:00Z","Mapei Stadium","UPCOMING"
"Como","Lecce","2026-03-01T14:00:00Z","Giuseppe Sinigaglia","UPCOMING"
"Cremonese","Milan","2026-03-01T14:00:00Z","Giovanni Zini","UPCOMING"
"Inter","Genoa","2026-03-01T14:00:00Z","Giuseppe Meazza","UPCOMING"
"Parma","Cagliari","2026-03-01T14:00:00Z","Ennio Tardini","UPCOMING"
"Pisa","Bologna","2026-03-01T14:00:00Z","Cetilar Arena","UPCOMING"
"Roma","Juventus","2026-03-01T14:00:00Z","Olimpico","UPCOMING"
"Sassuolo","Atalanta","2026-03-01T14:00:00Z","Mapei Stadium","UPCOMING"
"Torino","Lazio","2026-03-01T14:00:00Z","Olimpico - Grande Torino","UPCOMING"
"Udinese","Fiorentina","2026-03-01T14:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
"Hellas Verona","Napoli","2026-03-01T14:00:00Z","Marcantonio Bentegodi","UPCOMING"
"Atalanta","Udinese","2026-03-08T14:00:00Z","New Balance Arena","UPCOMING"
"Bologna","Hellas Verona","2026-03-08T14:00:00Z","Renato Dall'Ara","UPCOMING"
"Cagliari","Como","2026-03-08T14:00:00Z","Unipol Domus","UPCOMING"
"Fiorentina","Parma","2026-03-08T14:00:00Z","Artemio Franchi","UPCOMING"
"Genoa","Roma","2026-03-08T14:00:00Z","Luigi Ferraris","UPCOMING"
"Juventus","Pisa","2026-03-08T14:00:00Z","Allianz Stadium","UPCOMING"
"Lazio","Sassuolo","2026-03-08T14:00:00Z","Olimpico","UPCOMING"
"Lecce","Cremonese","2026-03-08T14:00:00Z","Ettore Giardiniero - Via Del Mare","UPCOMING"
"Milan","Inter","2026-03-08T14:00:00Z","Giuseppe Meazza","UPCOMING"
"Napoli","Torino","2026-03-08T14:00:00Z","Diego Armando Maradona","UPCOMING"
"Como","Roma","2026-03-15T14:00:00Z","Giuseppe Sinigaglia","UPCOMING"
"Cremonese","Fiorentina","2026-03-15T14:00:00Z","Giovanni Zini","UPCOMING"
"Inter","Atalanta","2026-03-15T14:00:00Z","Giuseppe Meazza","UPCOMING"
"Lazio","Milan","2026-03-15T14:00:00Z","Olimpico","UPCOMING"
"Napoli","Lecce","2026-03-15T14:00:00Z","Diego Armando Maradona","UPCOMING"
"Pisa","Cagliari","2026-03-15T14:00:00Z","Cetilar Arena","UPCOMING"
"Sassuolo","Bologna","2026-03-15T14:00:00Z","Mapei Stadium","UPCOMING"
"Torino","Parma","2026-03-15T14:00:00Z","Olimpico - Grande Torino","UPCOMING"
"Udinese","Juventus","2026-03-15T14:00:00Z","Friuli/Bluenergy stadium","UPCOMING"
